name,rank,lineage,,,,,,,
Providencia alcalifaciens PAL-1,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Providencia__586,s__Providencia alcalifaciens__126385,st__Providencia alcalifaciens PAL-1__1256991
Winkia neuii BV029A5,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Actinomycetales__2037,f__Actinomycetaceae__2049,g__Winkia__2692118,s__Winkia neuii__33007,st__Winkia neuii BV029A5__888439
Ruminococcus sp. AF31-14BH,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruminococcus__1263,s__Ruminococcus sp. AF31-14BH__2293173,
Staphylococcus epidermidis IS-K,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis IS-K__904791
Companilactobacillus halodurans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Companilactobacillus__2767879,s__Companilactobacillus halodurans__2584183,
Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,s__Salmonella enterica__28901,st__Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543__913082
Bacillus velezensis SK19.001,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus velezensis__492670,st__Bacillus velezensis SK19.001__1281778
Kallipyga,genus,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,g__Kallipyga__1472763,,,,
Weissella paramesenteroides ATCC 33313,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Weissella__46255,s__Weissella paramesenteroides__1249,st__Weissella paramesenteroides ATCC 33313__585506
Enterococcus faecalis TX4244,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX4244__749494
Citrobacter sp. wls620,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Citrobacter__544,s__Citrobacter sp. wls620__2576431,
Enterococcus faecalis TX0109,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX0109__749502
Serratia surfactantfaciens,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Yersiniaceae__1903411,g__Serratia__613,s__Serratia surfactantfaciens__2741499,
Bacteroides sp. OF04-15BH,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. OF04-15BH__2292281,
Actinotignum sanguinis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Actinomycetales__2037,f__Actinomycetaceae__2049,g__Actinotignum__1653174,s__Actinotignum sanguinis__1445614,
Streptococcus sp. HSISM1,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus sp. HSISM1__1316408,
Stenotrophomonas sp. LMG 10879,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Xanthomonadaceae__32033,g__Stenotrophomonas__40323,s__Stenotrophomonas sp. LMG 10879__487706,
Enterococcus faecalis TX1341,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX1341__749514
Kallipyga massiliensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,g__Kallipyga__1472763,s__Kallipyga massiliensis__1472764,,,
Enterococcus faecalis TX0645,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX0645__749510
Bacteroides ovatus str. 3725 D9 iii,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides ovatus__28116,st__Bacteroides ovatus str. 3725 D9 iii__1339347
Enterobacter sp. DE0047,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Enterobacter__547,s__Enterobacter sp. DE0047__2584949,
Streptococcus sp. CCH8-G7,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus sp. CCH8-G7__1768771,
Klebsiella sp. FDAARGOS_511,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Klebsiella__570,s__Klebsiella sp. FDAARGOS_511__2488567,
Enterococcus faecalis TX4248,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX4248__749495
Streptococcus peroris ATCC 700780,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus peroris__68891,st__Streptococcus peroris ATCC 700780__888746
Peptoniphilus vaginalis,species,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Peptoniphilus__162289,s__Peptoniphilus vaginalis__1756987,
Bacteroides fragilis str. 3725 D9 ii,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,st__Bacteroides fragilis str. 3725 D9 ii__1339286
Bacillus spizizenii TU-B-10,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus spizizenii__96241,st__Bacillus spizizenii TU-B-10__1052585
Bifidobacterium reuteri DSM 23975,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium reuteri__983706,st__Bifidobacterium reuteri DSM 23975__1437610
Bacteroides sp. AR20,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. AR20__93974,
Clostridium sp. NCR,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Clostridiaceae__31979,g__Clostridium__1485,s__Clostridium sp. NCR__1538552,
Bacteroides fragilis str. 3988T(B)14,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,st__Bacteroides fragilis str. 3988T(B)14__1339315
Bifidobacterium saguini DSM 23967,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium saguini__762210,st__Bifidobacterium saguini DSM 23967__1437607
Streptococcus sanguinis SK115,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus sanguinis__1305,st__Streptococcus sanguinis SK115__888810
Enterococcus faecalis TX0043,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX0043__749500
Stenotrophomonas maltophilia SKK35,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Xanthomonadales__135614,f__Xanthomonadaceae__32033,g__Stenotrophomonas__40323,s__Stenotrophomonas maltophilia__40324,st__Stenotrophomonas maltophilia SKK35__1118156
Bacteroides fragilis str. 1007-1-F #5,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,st__Bacteroides fragilis str. 1007-1-F #5__1339339
Enterococcus faecalis TX1342,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX1342__749515
Bacillus spizizenii,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus spizizenii__96241,
Hallella bergensis DSM 17361,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Hallella__52228,s__Hallella bergensis__242750,st__Hallella bergensis DSM 17361__585502
Kallipyga massiliensis ph2,strain,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,g__Kallipyga__1472763,s__Kallipyga massiliensis__1472764,st__Kallipyga massiliensis ph2__1118059,,
Enterococcus faecalis TX0017,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TX0017__749497
Streptococcus sanguinis SK678,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus sanguinis__1305,st__Streptococcus sanguinis SK678__888819
Bacteroides uniformis str. 3978 T3 ii,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides uniformis__820,st__Bacteroides uniformis str. 3978 T3 ii__1339349
Serratia sp. S119,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Yersiniaceae__1903411,g__Serratia__613,s__Serratia sp. S119__1118230,
Streptococcus sanguinis SK160,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus sanguinis__1305,st__Streptococcus sanguinis SK160__888812
Citrobacter sp. wls826,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Citrobacter__544,s__Citrobacter sp. wls826__2576415,
Campylobacter concisus UNSWCD,strain,sk__Bacteria__2,p__Campylobacterota__29547,c__Epsilonproteobacteria__3031852,o__Campylobacterales__213849,f__Campylobacteraceae__72294,g__Campylobacter__194,s__Campylobacter concisus__199,st__Campylobacter concisus UNSWCD__929793
Bacteroides sp. AM26-2,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. AM26-2__2292946,
Staphylococcus epidermidis NIHLM008,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM008__979217
Enterococcus faecalis EnGen0062,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis EnGen0062__1151187
Staphylococcus epidermidis NIHLM003,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM003__979218
Staphylococcus epidermidis NIHLM018,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM018__979215
Paraclostridium bifermentans ATCC 638 = DSM 14991,strain,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Peptostreptococcaceae__186804,g__Paraclostridium__1849822,s__Paraclostridium bifermentans__1490,st__Paraclostridium bifermentans ATCC 638 = DSM 14991__1233171
Paraclostridium bifermentans ATCC 19299,strain,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Peptostreptococcaceae__186804,g__Paraclostridium__1849822,s__Paraclostridium bifermentans__1490,st__Paraclostridium bifermentans ATCC 19299__1233170
Segatella salivae DSM 15606,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Segatella__2974251,s__Segatella salivae__228604,st__Segatella salivae DSM 15606__888832
Selenomonas artemidis F0399,strain,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Selenomonadales__909929,f__Selenomonadaceae__1843491,g__Selenomonas__970,s__Selenomonas artemidis__671224,st__Selenomonas artemidis F0399__749551
Citrobacter sp. wls710,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Citrobacter__544,s__Citrobacter sp. wls710__2576426,
beta proteobacterium JGI 0001001-A11,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,s__beta proteobacterium JGI 0001001-A11__1268298,,,,
Dermabacter jinjuensis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Dermabacteraceae__85020,g__Dermabacter__36739,s__Dermabacter jinjuensis__1667168,
Staphylococcus epidermidis NIHLM067,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM067__979203
Enterococcus faecalis ERV62,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis ERV62__1134792
Enterococcus faecalis EnGen0076,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis EnGen0076__1151193
Staphylococcus epidermidis NIHLM049,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM049__979207
Enterococcus faecalis EnGen0084,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis EnGen0084__1151206
Enterococcus faecalis TUSoD Ef11,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis TUSoD Ef11__553209
Staphylococcus epidermidis NIHLM001,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM001__979219
Collinsella sp. AF23-3LB,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Coriobacteriales__84999,f__Coriobacteriaceae__84107,g__Collinsella__102106,s__Collinsella sp. AF23-3LB__2292223,
Selenomonas sp. oral taxon 149 str. 67H29BP,strain,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Selenomonadales__909929,f__Selenomonadaceae__1843491,g__Selenomonas__970,s__Selenomonas sp. oral taxon 149__712535,st__Selenomonas sp. oral taxon 149 str. 67H29BP__864563
Aerococcus viridans LL1,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Aerococcaceae__186827,g__Aerococcus__1375,s__Aerococcus viridans__1377,st__Aerococcus viridans LL1__1175629
Staphylococcus pseudoxylosus,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus pseudoxylosus__2282419,
Enterococcus faecalis R508,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis R508__1134801
Staphylococcus sp. AtHG25,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus sp. AtHG25__1938895,
Corynebacterium simulans,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Corynebacteriaceae__1653,g__Corynebacterium__1716,s__Corynebacterium simulans__146827,
Shigella flexneri VA-6,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Shigella__620,s__Shigella flexneri__623,st__Shigella flexneri VA-6__766145
Ruminococcus sp. AM09-18-1,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruminococcus__1263,s__Ruminococcus sp. AM09-18-1__2293182,
Blautia sp. An249,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia sp. An249__1965603,
Collinsella sp. AF18-8LB,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Coriobacteriales__84999,f__Coriobacteriaceae__84107,g__Collinsella__102106,s__Collinsella sp. AF18-8LB__2292218,
Klebsiella pneumoniae subsp. pneumoniae 12-3578,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Klebsiella__570,s__Klebsiella pneumoniae__573,st__Klebsiella pneumoniae subsp. pneumoniae 12-3578__1306950
Pseudomonas sp. p21,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pseudomonadales__72274,f__Pseudomonadaceae__135621,g__Pseudomonas__286,s__Pseudomonas sp. p21__1825979,
Lacticaseibacillus paracasei N1115,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lacticaseibacillus__2759736,s__Lacticaseibacillus paracasei__1597,st__Lacticaseibacillus paracasei N1115__1446494
Bacillus cereus F,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus cereus__1396,st__Bacillus cereus F__1126681
Vibrio fluvialis 560,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Vibrionales__135623,f__Vibrionaceae__641,g__Vibrio__662,s__Vibrio fluvialis__676,st__Vibrio fluvialis 560__1315312
Leuconostoc citreum LBAE C11,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Leuconostoc__1243,s__Leuconostoc citreum__33964,st__Leuconostoc citreum LBAE C11__1127128
Porphyromonadaceae bacterium FC4,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Porphyromonadaceae__171551,s__Porphyromonadaceae bacterium FC4__1720317,,
Lachnoanaerobaculum orale,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Lachnoanaerobaculum__1164882,s__Lachnoanaerobaculum orale__979627,
Collinsella sp. AF20-14LB,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Coriobacteriales__84999,f__Coriobacteriaceae__84107,g__Collinsella__102106,s__Collinsella sp. AF20-14LB__2292221,
Achromobacter sp. 2789STDY5608628,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Alcaligenaceae__506,g__Achromobacter__222,s__Achromobacter sp. 2789STDY5608628__1806493,
Selenomonas sp. oral taxon 149,species,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Selenomonadales__909929,f__Selenomonadaceae__1843491,g__Selenomonas__970,s__Selenomonas sp. oral taxon 149__712535,
Staphylococcus epidermidis NIHLM039,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus epidermidis__1282,st__Staphylococcus epidermidis NIHLM039__979209
Staphylococcus haemolyticus R1P1,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus haemolyticus__1283,st__Staphylococcus haemolyticus R1P1__1134914
Bifidobacterium cebidarum,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium cebidarum__2650773,
Enterobacter oligotrophicus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Enterobacter__547,s__Enterobacter oligotrophicus__2478464,
Vibrio fluvialis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Vibrionales__135623,f__Vibrionaceae__641,g__Vibrio__662,s__Vibrio fluvialis__676,
