run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,
ERR1912974,997874,strain,0.006793,Bacteroides cellulosilyticus CL02T12C19,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides cellulosilyticus__246787,st__Bacteroides cellulosilyticus CL02T12C19__997874,0.969643825403202
ERR1912974,471870,strain,0.007454,Bacteroides intestinalis DSM 17393,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides intestinalis__329854,st__Bacteroides intestinalis DSM 17393__471870,0.909838746751
ERR1912974,411901,strain,0.016856,Bacteroides caccae ATCC 43185,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides caccae__47678,st__Bacteroides caccae ATCC 43185__411901,0.890944828521019
ERR1912974,1203608,strain,0.0010119999999999,Bacteroides nordii WAL 11050 = JCM 12987,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides nordii__291645,st__Bacteroides nordii WAL 11050 = JCM 12987__1203608,0.915338829531522
ERR1912974,997887,strain,0.000278,Bacteroides salyersiae CL02T12C01,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides salyersiae__291644,st__Bacteroides salyersiae CL02T12C01__997887,0.835493764402824
ERR1912974,817,species,0.00053,Bacteroides fragilis,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,0.326758845058978,
ERR1912974,762984,strain,0.000305,Bacteroides clarus YIT 12056,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides clarus__626929,st__Bacteroides clarus YIT 12056__762984,0.678208330912666
ERR1912974,1121098,strain,0.0893249999999999,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola massiliensis__204516,st__Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223__1121098,0.989974239849934
ERR1912974,702446,strain,0.0353949999999999,Phocaeicola vulgatus PC510,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola vulgatus__821,st__Phocaeicola vulgatus PC510__702446,0.83671207808047
ERR1912974,483217,strain,0.008093,Phocaeicola dorei DSM 17855,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola dorei__357276,st__Phocaeicola dorei DSM 17855__483217,0.919599504157269
ERR1912974,563193,species,0.012841,Parabacteroides sp. D13,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,s__Parabacteroides sp. D13__563193,0.971256427999764,
ERR1912974,999416,strain,0.007473,Parabacteroides distasonis CL03T12C09,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,s__Parabacteroides distasonis__823,st__Parabacteroides distasonis CL03T12C09__999416,0.9887334097378
ERR1912974,411477,strain,0.009373,Parabacteroides merdae ATCC 43184,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,s__Parabacteroides merdae__46503,st__Parabacteroides merdae ATCC 43184__411477,0.765937126449495
ERR1912974,1750560,species,0.0064049999999999,Parabacteroides massiliensis,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,s__Parabacteroides massiliensis__1750560,0.992429400215893,
ERR1912974,665949,species,0.001598,Tannerella sp. 6_1_58FAA_CT1,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Tannerella__195950,s__Tannerella sp. 6_1_58FAA_CT1__665949,0.862444082960497,
ERR1912974,658663,species,0.0055289999999999,Porphyromonas sp. 31_2,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Porphyromonadaceae__171551,g__Porphyromonas__836,s__Porphyromonas sp. 31_2__658663,0.856781993931187,
ERR1912974,742726,strain,0.0210239999999999,Barnesiella intestinihominis YIT 11860,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Barnesiellaceae__2005519,g__Barnesiella__397864,s__Barnesiella intestinihominis__487174,st__Barnesiella intestinihominis YIT 11860__742726,0.873160277997301
ERR1912974,1349822,strain,0.0008799999999999,Coprobacter fastidiosus NSB1 = JCM 33896,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Barnesiellaceae__2005519,g__Coprobacter__1348911,s__Coprobacter fastidiosus__1099853,st__Coprobacter fastidiosus NSB1 = JCM 33896__1349822,0.881184763453912
ERR1912974,2093856,species,0.008399,Butyricimonas faecalis,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Butyricimonas__574697,s__Butyricimonas faecalis__2093856,0.993783272949009,
ERR1912974,1121130,strain,0.005282,Butyricimonas virosa DSM 23226,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Butyricimonas__574697,s__Butyricimonas virosa__544645,st__Butyricimonas virosa DSM 23226__1121130,0.971875601977618
ERR1912974,1965649,species,0.000915,Butyricimonas sp. An62,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Butyricimonas__574697,s__Butyricimonas sp. An62__1965649,0.833590890605888,
ERR1912974,2293111,species,0.000599,Odoribacter sp. AF21-41,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Odoribacter__283168,s__Odoribacter sp. AF21-41__2293111,0.967866764945021,
ERR1912974,709991,strain,0.002963,Odoribacter splanchnicus DSM 20712,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Odoribacteraceae__1853231,g__Odoribacter__283168,s__Odoribacter splanchnicus__28118,st__Odoribacter splanchnicus DSM 20712__709991,0.529945654183165
ERR1912974,717959,strain,0.007204,Alistipes shahii WAL 8301,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes shahii__328814,st__Alistipes shahii WAL 8301__717959,0.59747125586898
ERR1912974,2585118,species,0.002857,Alistipes communis,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes communis__2585118,0.593417765642249,
ERR1912974,1211813,strain,0.0048449999999999,Alistipes ihumii AP11,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes ihumii__1470347,st__Alistipes ihumii AP11__1211813,0.903749491663212
ERR1912974,742725,strain,0.001283,Alistipes indistinctus YIT 12060,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes indistinctus__626932,st__Alistipes indistinctus YIT 12060__742725,0.815982106547331
ERR1912974,1203611,strain,0.002091,Alistipes onderdonkii WAL 8169 = DSM 19147,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes onderdonkii__328813,st__Alistipes onderdonkii WAL 8169 = DSM 19147__1203611,0.779652975464243
ERR1912974,1499682,species,0.001741,Alistipes sp. AL-1,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes sp. AL-1__1499682,0.849057882608054,
ERR1912974,679935,strain,0.004485,Alistipes finegoldii DSM 17242,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes finegoldii__214856,st__Alistipes finegoldii DSM 17242__679935,0.660061370106091
ERR1912974,1033732,strain,0.0003819999999999,Alistipes senegalensis JC50,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes senegalensis__1288121,st__Alistipes senegalensis JC50__1033732,0.585197234648234
ERR1912974,445970,strain,0.0282629999999999,Alistipes putredinis DSM 17216,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Rikenellaceae__171550,g__Alistipes__239759,s__Alistipes putredinis__28117,st__Alistipes putredinis DSM 17216__445970,0.535423498568018
ERR1912974,762968,strain,0.0130529999999999,Paraprevotella clara YIT 11840,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Paraprevotella__577309,s__Paraprevotella clara__454154,st__Paraprevotella clara YIT 11840__762968,0.924881823371108
ERR1912974,762982,strain,0.00263,Paraprevotella xylaniphila YIT 11841,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Paraprevotella__577309,s__Paraprevotella xylaniphila__454155,st__Paraprevotella xylaniphila YIT 11841__762982,0.909414396095908
ERR1912974,2293148,species,0.010238,Ruminococcus sp. AF16-40,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruminococcus__1263,s__Ruminococcus sp. AF16-40__2293148,0.93544688446064,
ERR1912974,1160721,species,0.0133099999999999,Ruminococcus bicirculans,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruminococcus__1263,s__Ruminococcus bicirculans__1160721,0.847809336272714,
ERR1912974,2086583,species,0.0007,Pseudoruminococcus massiliensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Acutalibacteraceae__3082771,g__Pseudoruminococcus__2721119,s__Pseudoruminococcus massiliensis__2086583,0.817405449369616,
ERR1912974,2086273,species,0.020349,Subdoligranulum sp. APC924/74,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Subdoligranulum__292632,s__Subdoligranulum sp. APC924/74__2086273,0.791649722109218,
ERR1912974,1550024,species,0.0036349999999999,Ruthenibacterium lactatiformans,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Ruthenibacterium__1905344,s__Ruthenibacterium lactatiformans__1550024,0.920176610701143,
ERR1912974,1627893,species,0.0038129999999999,Ruminococcaceae bacterium cv2,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,s__Ruminococcaceae bacterium cv2__1627893,0.955015190297271,,
ERR1912974,1232459,species,0.001416,Oscillospiraceae bacterium VE202-24,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,s__Oscillospiraceae bacterium VE202-24__1232459,0.590992273281824,,
ERR1912974,552398,species,0.001504,Ruminococcaceae bacterium D16,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,s__Ruminococcaceae bacterium D16__552398,0.676952013013404,,
ERR1912974,216851,genus,0.008116,Faecalibacterium,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Faecalibacterium__216851,0.0962122901607867,,
ERR1912974,2302956,species,0.005737,Faecalibacterium sp. AF27-11BH,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Faecalibacterium__216851,s__Faecalibacterium sp. AF27-11BH__2302956,0.650429840074892,
ERR1912974,748224,strain,0.00558,Faecalibacterium cf. prausnitzii KLE1255,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Faecalibacterium__216851,s__Faecalibacterium prausnitzii__853,st__Faecalibacterium cf. prausnitzii KLE1255__748224,0.687949030771298
ERR1912974,411483,species,0.012378,Faecalibacterium duncaniae,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Faecalibacterium__216851,s__Faecalibacterium duncaniae__411483,0.621783923003927,
ERR1912974,459786,genus,0.00077,Oscillibacter,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Oscillibacter__459786,0.307306493154409,,
ERR1912974,2109687,species,0.000738,Oscillibacter sp. PEA192,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Oscillibacter__459786,s__Oscillibacter sp. PEA192__2109687,0.477124847499004,
ERR1912974,2093857,species,0.002221,Dysosmobacter welbionis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Dysosmobacter__2591381,s__Dysosmobacter welbionis__2093857,0.680832316659872,
ERR1912974,2108523,species,0.001436,Lawsonibacter asaccharolyticus,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Lawsonibacter__2172004,s__Lawsonibacter asaccharolyticus__2108523,0.763521756811677,
ERR1912974,1965537,species,0.001099,Flavonifractor sp. An10,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,s__Flavonifractor sp. An10__1965537,0.985560872731318,
ERR1912974,742738,strain,0.000419,Flavonifractor plautii 1_3_50AFAA,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,s__Flavonifractor plautii__292800,st__Flavonifractor plautii 1_3_50AFAA__742738,0.469296461976433
ERR1912974,1965576,species,0.001119,Pseudoflavonifractor sp. An184,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoflavonifractor__1017280,s__Pseudoflavonifractor sp. An184__1965576,0.955571370475728,
ERR1912974,411467,strain,0.000738,Pseudoflavonifractor capillosus ATCC 29799,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoflavonifractor__1017280,s__Pseudoflavonifractor capillosus__106588,st__Pseudoflavonifractor capillosus ATCC 29799__411467,0.947997153314282
ERR1912974,1720200,species,0.000379,Anaerotruncus rubiinfantis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Anaerotruncus__244127,s__Anaerotruncus rubiinfantis__1720200,0.985563237088165,
ERR1912974,2292191,species,0.00185,Anaerotruncus sp. AF02-27,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Anaerotruncus__244127,s__Anaerotruncus sp. AF02-27__2292191,0.949840542796527,
ERR1912974,1871018,species,0.002963,Angelakisella massiliensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Angelakisella__1935176,s__Angelakisella massiliensis__1871018,0.974703316203846,
ERR1912974,2041843,species,0.000547,Anaeromassilibacillus sp. Marseille-P4683,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Acutalibacteraceae__3082771,g__Anaeromassilibacillus__1924093,s__Anaeromassilibacillus sp. Marseille-P4683__2041843,0.942252948352916,
ERR1912974,1628085,species,0.0015459999999999,Agathobaculum butyriciproducens,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Butyricicoccaceae__3085642,g__Agathobaculum__2048137,s__Agathobaculum butyriciproducens__1628085,0.3965704215806,
ERR1912974,428128,strain,0.017952,[Eubacterium] siraeum DSM 15702,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,s__[Eubacterium] siraeum__39492,st__[Eubacterium] siraeum DSM 15702__428128,0.978774482152381,
ERR1912974,428125,strain,0.000486,[Clostridium] leptum DSM 753,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,s__[Clostridium] leptum__1535,st__[Clostridium] leptum DSM 753__428125,0.649145994306618,
ERR1912974,745368,species,0.0023899999999999,Gemmiger formicilis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,g__Gemmiger__204475,s__Gemmiger formicilis__745368,0.377592517283463,,
ERR1912974,1689270,species,0.000528,Intestinimonas timonensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,g__Intestinimonas__1392389,s__Intestinimonas timonensis__1689270,0.676697844652282,,
ERR1912974,1297617,species,0.00375,Intestinimonas butyriciproducens,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,g__Intestinimonas__1392389,s__Intestinimonas butyriciproducens__1297617,0.971600921783844,,
ERR1912974,1673721,species,0.001599,Intestinimonas massiliensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,g__Intestinimonas__1392389,s__Intestinimonas massiliensis__1673721,0.933491071758589,,
ERR1912974,2211183,species,0.000775,Evtepia gabavorous,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,g__Evtepia__2211178,s__Evtepia gabavorous__2211183,0.724074827165488,,
ERR1912974,2086584,species,0.00067,Massilistercora timonensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,g__Massilistercora__2717089,s__Massilistercora timonensis__2086584,0.95304098323611,,
ERR1912974,657318,strain,0.007457,Agathobacter rectalis DSM 17629,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Agathobacter__1766253,s__Agathobacter rectalis__39491,st__Agathobacter rectalis DSM 17629__657318,0.59468384961647
ERR1912974,2293144,species,0.004013,Roseburia sp. TF10-5,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia sp. TF10-5__2293144,0.573867425782844,
ERR1912974,622312,strain,0.001991,Roseburia inulinivorans DSM 16841,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia inulinivorans__360807,st__Roseburia inulinivorans DSM 16841__622312,0.301748678324532
ERR1912974,301302,species,0.004411,Roseburia faecis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia faecis__301302,0.540703907723034,
ERR1912974,536231,strain,0.002071,Roseburia intestinalis L1-82,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia intestinalis__166486,st__Roseburia intestinalis L1-82__536231,0.733737291581916
ERR1912974,585394,strain,0.0015149999999999,Roseburia hominis A2-183,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia hominis__301301,st__Roseburia hominis A2-183__585394,0.431171207808068
ERR1912974,1805476,species,0.001207,Blautia sp. Marseille-P2398,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia sp. Marseille-P2398__1805476,0.431214779527119,
ERR1912974,649762,strain,0.000729,Blautia luti DSM 14534 = JCM 17040,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia luti__89014,st__Blautia luti DSM 14534 = JCM 17040__649762,0.612240748271653
ERR1912974,1121115,strain,0.001774,Blautia wexlerae DSM 19850,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia wexlerae__418240,st__Blautia wexlerae DSM 19850__1121115,0.399620441914073
ERR1912974,1737424,species,0.001966,Blautia massiliensis,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia massiliensis__1737424,0.554697031313552,
ERR1912974,411459,strain,0.002011,Blautia obeum ATCC 29174,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia obeum__40520,st__Blautia obeum ATCC 29174__411459,0.635115900772665
ERR1912974,717962,strain,0.000581,Coprococcus catus GD/7,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Coprococcus__33042,s__Coprococcus catus__116085,st__Coprococcus catus GD/7__717962,0.496746644977655
ERR1912974,470146,strain,0.0028499999999999,Coprococcus comes ATCC 27758,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Coprococcus__33042,s__Coprococcus comes__410072,st__Coprococcus comes ATCC 27758__470146,0.580673037820251
ERR1912974,515620,strain,0.000752,[Eubacterium] eligens ATCC 27750,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Lachnospira__28050,s__Lachnospira eligens__39485,st__[Eubacterium] eligens ATCC 27750__515620,0.382879219194809
ERR1912974,1073375,strain,0.000621,Mediterraneibacter gnavus CC55_001C,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Mediterraneibacter__2316020,s__Mediterraneibacter gnavus__33038,st__Mediterraneibacter gnavus CC55_001C__1073375,0.872328408115255
