Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Celiac Disease,conditions,[1678] Bifidobacterium (0.0527),[1263] Ruminococcus (-0.0442),[39948] Dialister (-0.0179),[375288] Parabacteroides (-0.0179),[562] Escherichia coli (0.0179),[397864] Barnesiella (0.0179),[239934] Akkermansia (0.0179),[33042] Coprococcus (-0.0179),[1578] Lactobacillus (-0.0146),[817] Bacteroides fragilis (-0.0099),[838] Prevotella (0.0087),[1279] Staphylococcus (0.0087),[1350] Enterococcus (-0.0087),[836] Porphyromonas (0.0087),[543] Enterobacteriaceae (0.0087),[1269] Micrococcus (0.0087),[816] Bacteroides (0.0087),[1485] Clostridium (0.0059),[239759] Alistipes (0.0),[119852] Oscillospira (0.0),[1224] Pseudomonadota (0.0),[1239] Bacillota (-0.0),[200643] Bacteroidia (0.0),,,,,,,
Exocrine Pancreatic Insufficiency,conditions,[84107] Coriobacteriaceae (-0.0087),[1263] Ruminococcus (-0.0087),[216572] Oscillospiraceae (-0.0087),[244127] Anaerotruncus (-0.0087),[572511] Blautia (0.0002),[838] Prevotella (0.0002),[438033] Ruminococcus gauvreauii (0.0002),[2357] Desulfomonile (0.0002),,,,,,,,,,,,,,,,,,,,,,
Drug Eruptions,symptoms,[2646395] unclassified Faecalibacterium (-0.0198),[91061] Bacilli (-0.0198),[1301] Streptococcus (-0.0198),[1239] Bacillota (-0.0198),[1678] Bifidobacterium (-0.0198),[84998] Coriobacteriia (-0.0198),[910951] uncultured Paraprevotella sp. (0.0198),[31980] Acetitomaculum (0.0198),[2624623] unclassified Alloprevotella (0.0198),[84999] Coriobacteriales (-0.0198),[201174] Actinomycetota (-0.0198),[165188] uncultured Megasphaera sp. (0.0198),[1897037] Firmicutes bacterium CAG_194_44_15 (0.0198),[357276] Phocaeicola dorei (0.0198),[216851] Faecalibacterium (-0.0198),[742725] Alistipes indistinctus YIT 12060 (-0.0198),[1300] Streptococcaceae (-0.0198),[186826] Lactobacillales (-0.0198),[821] Phocaeicola vulgatus (-0.0198),[31953] Bifidobacteriaceae (-0.0198),[85004] Bifidobacteriales (-0.0198),[1841865] Mediterranea massiliensis (0.0198),[2608887] unclassified Streptococcus (-0.0198),[187101] Sneathia vaginalis (0.0198),[2637578] unclassified Roseburia (-0.0198),,,,,
Hashimoto Disease,conditions,[1506553] Lachnoclostridium (-0.0326),[158846] Megamonas (-0.0239),[216851] Faecalibacterium (-0.0238),[1678] Bifidobacterium (-0.0227),[1300] Streptococcaceae (0.0206),[189330] Dorea (0.0206),[40544] Sutterella (0.0176),[1578] Lactobacillus (0.0151),[171552] Prevotellaceae (-0.015),[39488] Anaerobutyricum hallii (0.015),[33039] [Ruminococcus] torques (0.015),[1501226] Romboutsia (0.015),[1407607] Fusicatenibacter (0.015),[186804] Peptostreptococcaceae (0.015),[817] Bacteroides fragilis (-0.0144),[200643] Bacteroidia (0.0114),[1239] Bacillota (-0.0114),[816] Bacteroides (0.0108),[239759] Alistipes (-0.0095),[544448] Mycoplasmatota (0.0088),[31977] Veillonellaceae (-0.0088),[28216] Betaproteobacteria (0.0088),[848] Fusobacterium (0.0088),[32066] Fusobacteriota (0.0088),[29465] Veillonella (0.0088),[171549] Bacteroidales (0.0088),[543] Enterobacteriaceae (-0.0088),[119060] Burkholderiaceae (0.0088),[91347] Enterobacterales (-0.0088),[216572] Oscillospiraceae (-0.0088)
Escherichia coli Infections,conditions,[561] Escherichia (0.1022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laryngopharyngeal Reflux,symptoms,[1678] Bifidobacterium (-0.0049),[375288] Parabacteroides (-0.0049),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starch Digestion,metabolisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apolipoproteins B,symptoms,[216572] Oscillospiraceae (-0.0122),[375288] Parabacteroides (-0.0122),[165179] Segatella copri (0.0122),[838] Prevotella (0.0122),[171550] Rikenellaceae (-0.0122),[264995] Anaerofustis (-0.0122),[119852] Oscillospira (-0.0122),[186802] Eubacteriales (-0.0122),[815] Bacteroidaceae (-0.0122),[171552] Prevotellaceae (0.0122),[35493] Streptophyta (-0.0122),[171551] Porphyromonadaceae (-0.0122),[816] Bacteroides (-0.0122),,,,,,,,,,,,,,,,,
Hyperinsulinism,symptoms,[39948] Dialister (-0.0167),[544448] Mycoplasmatota (-0.0),[84107] Coriobacteriaceae (0.0),[102106] Collinsella (0.0),[84998] Coriobacteriia (0.0),[201174] Actinomycetota (0.0),[31969] Mollicutes (-0.0),,,,,,,,,,,,,,,,,,,,,,,
"Obesity, Morbid",conditions,[853] Faecalibacterium prausnitzii (-0.006),[1306] Streptococcus sp. (0.006),[817] Bacteroides fragilis (-0.006),[33038] Mediterraneibacter gnavus (0.006),,,,,,,,,,,,,,,,,,,,,,,,,,
Obesity,conditions,[201174] Actinomycetota (-1.0635),[119852] Oscillospira (-1.0228),[2173] Methanobrevibacter smithii (-1.0179),[544448] Mycoplasmatota (-1.0103),[1678] Bifidobacterium (-1.0092),[990719] Christensenellaceae (-1.0058),[2159] Methanobacteriaceae (-1.0058),[2236] Halobacteriaceae (-1.0058),[1578] Lactobacillus (-0.9763),[1239] Bacillota (-0.8639),[384638] [Bacteroides] pectinophilus (-0.2196),[838] Prevotella (0.1479),[1150298] Fusicatenibacter saccharivorans (-0.1405),[853] Faecalibacterium prausnitzii (-0.1395),[649756] Anaerostipes hadrus (-0.1341),[301302] Roseburia faecis (-0.1341),[35833] Bilophila wadsworthia (0.1296),[823] Parabacteroides distasonis (0.1233),[33038] Mediterraneibacter gnavus (0.1194),[1318] Streptococcus parasanguinis (0.1194),[1328] Streptococcus anginosus (0.1194),[261299] Intestinibacter bartlettii (-0.1194),[114527] Mogibacterium diversum (0.1194),[562] Escherichia coli (0.1194),[33033] Parvimonas micra (0.1194),[1535] [Clostridium] leptum (0.1092),[143393] [Eubacterium] sulci (0.1092),[418240] Blautia wexlerae (0.1092),[33039] [Ruminococcus] torques (0.1002),[1485] Clostridium (-0.0768)
Heart Failure,conditions,[102106] Collinsella (-0.0153),[1301] Streptococcus (0.0126),[29465] Veillonella (0.0126),[1350] Enterococcus (0.0102),[1578] Lactobacillus (0.0102),[580596] Butyricicoccus (-0.0102),[156973] Dysgonomonas (0.0102),[469] Acinetobacter (0.0102),[853] Faecalibacterium prausnitzii (-0.0102),[239759] Alistipes (-0.0102),[459786] Oscillibacter (-0.0102),[100883] Coprobacillus (0.0102),[33038] Mediterraneibacter gnavus (0.0102),[207244] Anaerostipes (0.0102),[1263] Ruminococcus (0.0102),[43994] Johnsonella (-0.0102),[32008] Burkholderia (-0.0102),[216851] Faecalibacterium (-0.0102),[1392389] Intestinimonas (-0.0102),[Pathogen] Campylobacter (0.0102),[1763] Mycobacterium (-0.0102),[3025755] Thomasclavelia (0.0102),[848] Fusobacterium (0.0102),[577310] Parasutterella (-0.0102),[35832] Bilophila (-0.0102),[39491] Agathobacter rectalis (-0.0063),[1485] Clostridium (-0.0063),[189330] Dorea (-0.0063),[88431] Dorea longicatena (-0.0063),[200643] Bacteroidia (0.0052)
trimethyloxamine,symptoms,[171552] Prevotellaceae (-0.0157),[200643] Bacteroidia (-0.0157),[31979] Clostridiaceae (0.0157),[815] Bacteroidaceae (-0.0157),[186802] Eubacteriales (0.0157),[31977] Veillonellaceae (0.0157),[171549] Bacteroidales (-0.0157),[1239] Bacillota (0.0157),[186803] Lachnospiraceae (0.0157),,,,,,,,,,,,,,,,,,,,,
Lung Neoplasms,conditions,[200643] Bacteroidia (-0.0097),[28050] Lachnospira (-0.0097),[74201] Verrucomicrobiota (0.0097),[84111] Eggerthella (0.0097),[1239] Bacillota (-0.0097),[201174] Actinomycetota (0.0097),[239759] Alistipes (-0.0044),[1522] [Clostridium] innocuum (0.0044),[283168] Odoribacter (-0.0044),[33042] Coprococcus (-0.0044),[841] Roseburia (-0.0044),[33038] Mediterraneibacter gnavus (0.0044),[39496] Eubacterium ventriosum (-0.0044),[174708] Allobaculum (0.0044),[1350] Enterococcus (0.0044),[1506553] Lachnoclostridium (-0.0044),[588605] Robinsoniella (0.0044),[906] Megasphaera (-0.0044),[1508657] Ruminiclostridium (-0.0044),,,,,,,,,,,
"Spondylitis, Ankylosing",conditions,[580596] Butyricicoccus (1.0),[244127] Anaerotruncus (-1.0),[1185407] Defluviitaleaceae (1.0),[387090] Phocaeicola coprophilus (0.1304),[823] Parabacteroides distasonis (0.0942),[165179] Segatella copri (0.0942),[39492] [Eubacterium] siraeum (0.0942),[905] Acidaminococcus fermentans (0.0942),[33038] Mediterraneibacter gnavus (0.0722),[572511] Blautia (0.0546),[84107] Coriobacteriaceae (0.0536),[189330] Dorea (0.0531),[28050] Lachnospira (-0.0499),[201174] Actinomycetota (0.0484),[1239] Bacillota (0.0412),[200643] Bacteroidia (-0.0397),[570] Klebsiella (0.0362),[1872530] Anaerostipes sp. (-0.0361),[207244] Anaerostipes (-0.0361),[51514] Dehalobacterium (-0.0361),[41978] Ruminococcus sp. (-0.0361),[74426] Collinsella aerofaciens (-0.0361),[33042] Coprococcus (0.0361),[Probiotic] Bifidobacterium longum (0.0361),[33035] Blautia producta (0.0361),[102106] Collinsella (-0.0356),[186803] Lachnospiraceae (0.0355),[39948] Dialister (-0.0354),[1506553] Lachnoclostridium (-0.0329),[816] Bacteroides (-0.032)
Hematologic Neoplasms,conditions,[570] Klebsiella (0.0),[561] Escherichia (0.0),[1350] Enterococcus (0.0),[200643] Bacteroidia (0.0),[186801] Clostridia (0.0),,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,conditions,[582] Morganella morganii (0.0418),[Probiotic] Bifidobacterium longum (0.0293),[1898207] Clostridiales bacterium (-0.0293),[59823] Prevotella sp. (0.0293),[Probiotic] Bifidobacterium animalis (0.0293),[823] Parabacteroides distasonis (-0.0293),[186803] Lachnospiraceae (0.0124),[816] Bacteroides (-0.0104),[1678] Bifidobacterium (0.0104),[543] Enterobacteriaceae (-0.0104),[84112] Eggerthella lenta (0.0088),[40545] Sutterella wadsworthensis (-0.0088),[1485] Clostridium (0.0088),[853] Faecalibacterium prausnitzii (-0.0088),[46506] Bacteroides stercoris (-0.0088),[1236] Gammaproteobacteria (0.003),[171552] Prevotellaceae (0.002),[31977] Veillonellaceae (0.002),[216572] Oscillospiraceae (0.0),[1301] Streptococcus (0.0),[186802] Eubacteriales (0.0),,,,,,,,,
Abdominal Pain,symptoms,[1678] Bifidobacterium (0.2266),[186803] Lachnospiraceae (-0.1476),[239759] Alistipes (0.0661),[216572] Oscillospiraceae (0.0661),[239934] Akkermansia (0.0661),[724] Haemophilus (0.0661),[216851] Faecalibacterium (0.0661),[375288] Parabacteroides (-0.0631),[1654] Actinomyces (-0.0548),[100883] Coprobacillus (0.0548),[84111] Eggerthella (-0.0548),[171550] Rikenellaceae (0.0548),[255528] Victivallaceae (-0.0548),[84107] Coriobacteriaceae (-0.0548),[84108] Slackia (0.0548),[48736] Ralstonia (-0.0548),[1357] Lactococcus (0.0548),[841] Roseburia (0.0456),[1239] Bacillota (-0.026),[816] Bacteroides (0.0234),[200643] Bacteroidia (0.0147),[976] Bacteroidota (0.0113),[135858] Catenibacterium (-0.0103),[1263] Ruminococcus (0.0103),[2005519] Barnesiellaceae (0.0103),[838] Prevotella (-0.0103),[292800] Flavonifractor plautii (0.0101),[946234] Flavonifractor (0.0101),[186801] Clostridia (0.0089),[46228] [Ruminococcus] lactaris (-0.0063)
Helicobacter Infections,conditions,[1678] Bifidobacterium (-0.0287),[200643] Bacteroidia (0.0271),[375288] Parabacteroides (0.0166),[142182] Gemmatimonadota (0.0166),[768507] Cytophagales (0.0166),[1653] Corynebacteriaceae (0.0166),[90964] Staphylococcaceae (0.0166),[1236] Gammaproteobacteria (0.0166),[200795] Chloroflexota (0.0166),[109326] Anaerovorax (0.0166),[768503] Cytophagia (0.0166),[47494] Pedomicrobium (0.0166),[91347] Enterobacterales (0.0166),[135614] Xanthomonadales (0.0166),[204434] Acidobacteriaceae (0.0166),[841] Roseburia (-0.0166),[89373] Cytophagaceae (0.0166),[13687] Sphingomonas (0.0166),[1497348] Cinara aff. piceae 2880 (0.0166),[543] Enterobacteriaceae (0.0166),[86331] Mogibacterium (0.0166),[72275] Alteromonadaceae (0.0166),[43996] Catonella (0.0166),[1300] Streptococcaceae (0.0166),[1016] Capnocytophaga (0.0166),[171549] Bacteroidales (0.0166),[2762318] Weeksellaceae (0.0166),[186802] Eubacteriales (-0.0166),[1357] Lactococcus (0.0166),[33958] Lactobacillaceae (-0.0166)
Lactulose Digestion,metabolisms,[1578] Lactobacillus (0.0001),[1301] Streptococcus (0.0001),[1678] Bifidobacterium (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate-Encapsulated Quercetin Digestion,metabolisms,[1224] Pseudomonadota (0.0373),[200643] Bacteroidia (0.0373),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylo-Oligosaccharide Digestion,metabolisms,[1678] Bifidobacterium (0.0204),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium Infections,conditions,[Pathogen] Clostridioides difficile (-0.6199),[816] Bacteroides (-0.0667),[1350] Enterococcus (0.0448),[216572] Oscillospiraceae (-0.0345),[1473205] Senegalimassilia (-0.0334),[848] Fusobacterium (0.0334),[838] Prevotella (-0.0334),[1263] Ruminococcus (-0.0334),[128827] Erysipelotrichaceae (0.0243),[543] Enterobacteriaceae (0.0243),[946234] Flavonifractor (0.0171),[641107] Clostridium sp. DL-VIII (0.0171),[1301] Streptococcus (-0.0167),[102106] Collinsella (-0.0167),[1357] Lactococcus (-0.0167),[572511] Blautia (-0.0167),[189330] Dorea (-0.0167),[577310] Parasutterella (-0.0167),[1578] Lactobacillus (-0.0167),[28050] Lachnospira (0.0102),[29465] Veillonella (0.0102),[186803] Lachnospiraceae (-0.0102),[40544] Sutterella (0.0102),[570] Klebsiella (0.0102),[583] Proteus (0.0102),[544] Citrobacter (0.0102),[239934] Akkermansia (-0.0102),[1716] Corynebacterium (0.0102),[1678] Bifidobacterium (-0.0102),[1279] Staphylococcus (0.0102)
Diabetes Mellitus,conditions,[1224] Pseudomonadota (0.0102),[1239] Bacillota (-0.0102),[33954] Clostridium magnum (0.0102),[1623] Ligilactobacillus ruminis (-0.0102),[57494] Nesterenkonia (0.0102),[322095] Porphyromonas somerae (0.0102),[28090] Acinetobacter lwoffii (0.0102),[40518] Ruminococcus bromii (-0.0102),[165179] Segatella copri (-0.0102),[360807] Roseburia inulinivorans (0.0102),[201174] Actinomycetota (0.0102),[1504] Clostridium septicum (0.0102),[853] Faecalibacterium prausnitzii (-0.0102),[245012] butyrate-producing bacterium SM4/1 (-0.0102),[74426] Collinsella aerofaciens (-0.0102),,,,,,,,,,,,,,,
Vomiting,symptoms,[216572] Oscillospiraceae (0.1243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multiple Sclerosis, Chronic Progressive",conditions,[239934] Akkermansia (0.0622),[Probiotic] Akkermansia muciniphila (0.0396),[216572] Oscillospiraceae (0.0396),[189330] Dorea (-0.0314),[102106] Collinsella (0.0314),[Probiotic] Bifidobacterium bifidum (0.0308),[1547] Thomasclavelia ramosa (0.0308),[46506] Bacteroides stercoris (0.0308),[86331] Mogibacterium (0.0308),[1738645] Caproiciproducens (0.0308),[1918511] Frisingicoccus (0.0308),[31979] Clostridiaceae (0.0308),[1328] Streptococcus anginosus (0.0308),[169435] Anaerotruncus colihominis (0.0308),[1301] Streptococcus (0.0308),[Probiotic] Latilactobacillus sakei (0.0308),[46503] Parabacteroides merdae (0.0308),[543] Enterobacteriaceae (0.0308),[487174] Barnesiella intestinihominis (0.0308),[1654] Actinomyces (0.0308),[44748] Sporobacter (0.0308),[28118] Odoribacter splanchnicus (0.0308),[1796615] Blautia caecimuris (0.0308),[1017280] Pseudoflavonifractor (0.0308),[128827] Erysipelotrichaceae (-0.0308),[1550024] Ruthenibacterium lactatiformans (0.0308),[31969] Mollicutes (-0.0308),[572511] Blautia (-0.0308),[Probiotic] Bifidobacterium animalis (0.0308),[1730] Eubacterium (-0.0308)
Acute-On-Chronic Liver Failure,conditions,[1350] Enterococcus (0.1294),[841] Roseburia (-0.1127),[543317] Clostridiales Family XIV. Incertae Sedis (-0.1017),[33958] Lactobacillaceae (-0.0894),[1257] Peptostreptococcus (0.0663),[29465] Veillonella (0.0631),[1263] Ruminococcus (-0.0508),[28050] Lachnospira (-0.0508),[816] Bacteroides (-0.0508),[574697] Butyricimonas (-0.0508),[40544] Sutterella (-0.0508),[1578] Lactobacillus (0.0465),[1239] Bacillota (-0.0435),[213849] Campylobacterales (0.0386),[39948] Dialister (-0.0341),[119852] Oscillospira (-0.0341),[283168] Odoribacter (-0.0341),[33042] Coprococcus (-0.0341),[48736] Ralstonia (0.0341),[207244] Anaerostipes (-0.0341),[1835] Saccharopolyspora (0.0341),[508215] Rothia (0.0341),[906] Megasphaera (-0.0341),[378210] Methyloversatilis (0.0341),[528] Ochrobactrum (0.0341),[204475] Gemmiger (-0.0341),[561] Escherichia (0.0341),[35832] Bilophila (-0.0341),[158846] Megamonas (-0.0341),[286] Pseudomonas (0.0341)
